"gloss","","gorum","sora","remo","gutob","kharia","juang","gtaq","santali","mundari","ho","korwa","korku","set_v2","pm_v2","set_v1","pm_v1","cv"
"plough(v)_1","#0042-1","x","x","s","s","s","s","s","s","s","s","s","x","","","s1o2","s","C"
"plough(v)_2","#0042-2","x","x","e","ui","i","i","i","i","iu","i:","i:","x","","","e:ui:i","e:ui:i","V"
"lick(v)_1","#0043-1","z","ɟ","s","s","j","x","c","j","j","j","j","j","","","ɟ1","ɟ","C"
"lick(v)_2","#0043-2","a","a:","a","a","a","x","a","a","a","a","a","a","","","a1","a","V"
"lick(v)_3","#0043-3","l","l","l","l","l","x","0","l","l","l","ɽ","l","","","l1-2","l1-2","C"
"winnow(v)_1","#0044-1","g","g","x","g","g","g","g","g","g","g","g","g","","","g1","g","C"
"winnow(v)_2","#0044-2","u","u","x","i","u","u","o","u","u","u","u","u","","","u(gt:o)1","u(gt:o)1","V"
"winnow(v)_3","#0044-3","m","m","x","m","m","ŋ/ɲ","ŋ","m","m","m","m","m","","","m2a","m2a","C"
"sow(v)_1","#0045-1","b","b","b","b","b","b","b","b","b","b","","b","","","b1","b","C"
"sow(v)_2","#0045-2","u","ü","i","i","i","i","i","i","i","i","","i","","","i3(go:u/so:ü)","i3(go:u/so:ü)","V"
"sow(v)_3","#0045-3","ˀd","d","ʔ","ɽ","ˀɖ","r","g","t'","d'","ɖ","","ʈ","","","ˀt1-1b","ˀt","C"
"boil(v)_1","#0046-1","a","ə","0","i","i","x","0","i","i","i","i","i","","","a:ə:i/N:i","a:ə:i/N:i","V"
